id,nombre,sup_id,sup_nombre,tipo,precio_venta_1y,superficie_venta_1y,elasticidad_1y,precio_alquiler_1y,rentabilidad_1y,grow_acu_alquiler_1y,grow_acu_venta_1y,grow_acu_superficie_venta_1y,precio_venta_5y,superficie_venta_5y,elasticidad_5y,precio_alquiler_5y,rentabilidad_5y,grow_acu_alquiler_5y,grow_acu_venta_5y,grow_acu_superficie_venta_5y,precio_venta_10y,superficie_venta_10y,elasticidad_10y,precio_alquiler_10y,rentabilidad_10y,grow_acu_alquiler_10y,grow_acu_venta_10y,grow_acu_superficie_venta_10y,elasticidad_1y_stars,rentabilidad_1y_stars,grow_acu_alquiler_1y_stars,grow_acu_venta_1y_stars,elasticidad_5y_stars,rentabilidad_5y_stars,grow_acu_alquiler_5y_stars,grow_acu_venta_5y_stars,elasticidad_10y_stars,rentabilidad_10y_stars,grow_acu_alquiler_10y_stars,grow_acu_venta_10y_stars
81065,el clot,81000,sant marti,barri,3550.3333,1140.5,-0.036,15.655,0.0529,-0.1124330341612746,-0.04560931899641573,-0.5440380270281792,3437.1561,2691.5267,-0.0507,14.229,0.0497,-0.03125064471789778,0.20307031562560707,9.015211459665805,3084.2932,1802.6383,-0.1763,13.118,0.0514,0.14872312356418327,0.2603663468193345,13.893011680557603,1,2,2,3,1,2,2,4,2,2,3,3
81066,el parc i la llacuna del poblenou,81000,sant marti,barri,4353.2857,850.0,-0.1074,17.55,0.0484,-0.08726190476190471,-0.010616883116883028,-0.2706225347281769,3980.8784,1718.2229,0.0189,15.9505,0.0481,-0.0005885444827458536,0.22244191087271695,0.14556914534719612,3609.6997,1645.5143,inf,14.7135,0.0492,0.2215858225739067,0.48248728703293664,0.02012288046310351,1,2,2,3,1,2,2,4,2,2,3,4
81067,la vila olimpica del poblenou,81000,sant marti,barri,4920.75,514.5,0.0215,19.915,0.0486,-0.18326842932294862,-0.08321551201777419,-0.19773519163763068,4622.0262,1081.6333,0.0296,18.9735,0.0493,-0.006397663543388332,0.01546017266780389,4.558215748697457,4239.5333,794.8667,-0.0049,17.694,0.0504,0.10621760674346692,0.1436223170547556,7.290316200899852,1,2,1,3,1,2,2,3,2,2,2,2
81068,el poblenou,81000,sant marti,barri,4577.7778,2220.6667,0.7777,18.885,0.0495,-0.1266468462166258,-0.01404743101921659,-0.26336024605920805,4180.2025,2194.4333,0.063,16.5175,0.0474,-0.05403974412162631,0.023125973860573575,-0.586042909628508,3773.4013,4227.25,-0.0036,15.1055,0.0482,0.14679529194261381,0.12808113607014104,10.976817688538764,1,2,2,3,1,2,1,3,2,2,3,2
81069,diagonal mar i el front maritim del poblenou,81000,sant marti,barri,5498.625,778.75,-0.1118,19.345,0.0422,-0.16262261228704192,-0.047570749557504455,0.047348484848484806,4849.1417,1463.6633,-0.348,17.6545,0.044,-0.013967330517656862,-0.12260889534192265,-0.8034508003224126,4829.0582,2482.2817,-0.3459,16.4618,0.0413,0.23187180310001929,0.028780156346266753,5.056620749289856,1,1,1,3,1,1,2,2,2,1,3,2
81070,el besos i el maresme,81000,sant marti,barri,2497.5556,6214.5,0.0059,14.255,0.0685,-0.0690873015873016,0.0949388669686785,-0.5585173443091014,2389.4081,2971.5,-0.7856,12.4225,0.0627,-0.052091291161134,0.25411009131796525,2.605537762664945,2105.3624,2575.6833,-0.3645,11.1757,0.064,0.07346919447624818,0.409668088643575,2.898457288147831,1,4,3,5,1,3,2,4,2,3,2,3
81071,provencals del poblenou,81000,sant marti,barri,3469.1111,685.0,-0.082,16.31,0.0564,-0.1507077991452991,-0.02826019296607526,-0.4352168485045867,3125.2604,2848.7958,inf,14.9865,0.0576,-0.08758700500097538,0.020801072025656512,2.435770689182866,2871.1097,2037.0204,inf,13.7748,0.0578,0.0938412174861099,0.04651117843032404,8.391297546461818,1,3,1,3,1,3,1,3,2,2,2,2
81072,sant marti de provencals,81000,sant marti,barri,2949.5,17390.0,inf,14.525,0.0591,-0.1140560875512995,0.03093324012583013,-0.24726489757914336,2680.5955,4260.0,inf,12.721,0.0569,-0.03258184173072545,0.12505535964458891,5.411910331190829,2443.2394,2649.9062,inf,11.7588,0.0579,0.11128728171301452,0.2205853991172937,5.774733034194718,1,3,2,4,1,3,2,4,2,2,2,3
81073,la verneda i la pau,81000,sant marti,barri,2403.375,1964.0,0.6092,14.31,0.0714,-0.05536211699164345,-0.008099463475030953,0.05482371361193799,2284.3417,2910.2667,0.1524,12.78,0.0671,-0.09292118129356113,0.006503140258643923,1.378072242781228,2135.7708,2998.27,-0.0542,11.5082,0.0645,0.010566510860597456,0.35251549379004304,5.899822463931316,1,4,3,3,1,4,1,3,2,3,2,3
80100,ciutat vella,80000,barcelona,districte,3652.7778,11779.0,-0.6941,16.67,0.0548,-0.13591443989337487,-0.00820587081787189,-0.20046485033452882,3655.2222,8280.7,0.0482,15.35,0.0503,-0.12878916694617057,0.11999821869318622,0.5982367470573178,3485.6611,13093.25,0.0378,14.799,0.0512,-0.013438542197684727,0.18051655120738172,1.7889621550060255,1,3,2,1,2,2,1,5,3,2,1,3
