link,type_v,address,town,price,price_old,info,description,tags,agent,created
https://www.idealista.com/inmueble/102610114/,Piso,"calle de Llopis, Les Roquetes, Barcelona","calle de Llopis, Les Roquetes, Barcelona",93400.0,,"['4 hab.', '66 m²', ' sin ascensor']","<p class=""ellipsis"">Piso de 66 m² en venta, situado en Barcelona. Construido en 1971, este piso cuenta con una superficie de 66 m² y se distribuye en salón-comedor, cocina, 4 dormitorios y 1 baño. La vivienda está comunicada mediante la estación de metro Roquetes, autobuses con las líneas 134 y 127 y por carretera, mediante el acceso B-20</p>",,,2025-01-01 12:43:42
https://www.idealista.com/inmueble/104815387/,Piso,"calle de les Agudes, 108, Ciutat Meridiana - Torre Baró - Vallbona, Barcelona","calle de les Agudes, 108, Ciutat Meridiana - Torre Baró - Vallbona, Barcelona",62000.0,,"['3 hab.', '55 m²', 'Planta 4ª exterior sin ascensor']","<p class=""ellipsis"">Vivienda OKUPADA ilegalmente en venta. No se puede visitar.</p>",,,2025-01-01 12:43:42
https://www.idealista.com/inmueble/105977966/,Piso,"calle del Pedraforca, Ciutat Meridiana - Torre Baró - Vallbona, Barcelona","calle del Pedraforca, Ciutat Meridiana - Torre Baró - Vallbona, Barcelona",96400.0,,"['1 hab.', '68 m²', 'Bajo sin ascensor']","<p class=""ellipsis"">Oportunidad sólo para inversores. Debido al estado ocupacional del activo, no se pueden realizar visitas al mismo. Piso de 69 m² en venta situado en Barcelona. Construido en 1971, este piso cuenta con una superficie aproximada de 69 m² y se distribuye en varias estancias. La vivienda está bien comunicada, a pocos metro</p>",,,2025-01-01 12:43:42
https://www.idealista.com/inmueble/105886264/,Estudio,"calle de Canfranc, Can Peguera - El Turó de la Peira, Barcelona","calle de Canfranc, Can Peguera - El Turó de la Peira, Barcelona",89900.0,91000.0,"['26 m²', 'Bajo exterior sin ascensor']","<p class=""ellipsis"">Loft en planta baja de 26m2 y baño independiente, buen estado.</p>",,,2025-01-01 12:43:42
https://www.idealista.com/inmueble/105850046/,Estudio,"Les Roquetes, Barcelona","Les Roquetes, Barcelona",70000.0,,"['26 m²', 'Bajo interior sin ascensor']","<p class=""ellipsis"">Estudio en venta en planta baja de 26 metros cuadrados según catastro situada en la via Favencia. Esta distribuido en un salón comedor desde el cual accedemos a la cocina y a un pasillo que nos lleva al cuarto de baño y la habitación principal.La propiedad en venta se trasmite sin amueblar y sin garantía sobre el est</p>",,,2025-01-01 12:43:42
https://www.idealista.com/inmueble/104013826/,Piso,"calle del Torrent de la Perera, La Trinitat Vella, Barcelona","calle del Torrent de la Perera, La Trinitat Vella, Barcelona",88000.0,,"['3 hab.', '48 m²', 'Planta 2ª sin ascensor']","<p class=""ellipsis"">¿Deseas convertir la casa de tus sueños en una realidad?¡Esta es tu oportunidad!Les ofrecemos en exclusiva este luminoso piso en edificio residencial que puedes adquirir en propiedad, con una superficie de 48m² muy bien distribuido en 2 dormitorios, 1 baño, un salón-comedor y una cocina independiente, ubicado en l</p>",,,2025-01-01 12:43:42
https://www.idealista.com/inmueble/105827163/,Piso,"calle de Santa Engràcia, La Prosperitat, Barcelona","calle de Santa Engràcia, La Prosperitat, Barcelona",80000.0,,"['3 hab.', '53 m²', 'Planta 1ª sin ascensor']","<p class=""ellipsis"">Oportunidad sólo para inversores. El activo se encuentra ocupado por persona sin justo título. Debido al estado ocupacional del activo, no se pueden realizar visitas al mismo. Piso de segunda mano en venta situado en Barcelona. Cuenta con una superficie de 53 m² distribuidos en 3 dormitorios y 1 baño. En sus inmediacio</p>",,,2025-01-01 12:43:42
https://www.idealista.com/inmueble/105802479/,Piso,"calle de les Agudes, Ciutat Meridiana - Torre Baró - Vallbona, Barcelona","calle de les Agudes, Ciutat Meridiana - Torre Baró - Vallbona, Barcelona",67000.0,,"['3 hab.', '58 m²', 'Planta 1ª sin ascensor']","<p class=""ellipsis"">Oportunidad sólo para inversores. El activo se encuentra ocupado por persona sin justo título. Debido al estado ocupacional del activo, no se pueden realizar visitas al mismo. Piso de segunda mano en venta situado en Barcelona. Cuenta con una superficie de 58 m² distribuidos en 3 dormitorios y 1 baño. En sus inmediacio</p>",,,2025-01-01 12:43:42
https://www.idealista.com/inmueble/102609582/,Piso,"calle de Palerm, El Besòs, Barcelona","calle de Palerm, El Besòs, Barcelona",62000.0,,"['2 hab.', '53 m²', 'Planta 2ª sin ascensor']","<p class=""ellipsis"">Piso a reformar en Barcelona. La vivienda tiene 47,6m2. y está distribuido en salón-comedor, dos habitaciones, baño con bañera y cocina. Cuenta con puerta de entrada blindada normal, cocina y baños con paredes alicatadas, carpintería interior en madera y suelos de gres. Situado en un edificio plurifamiliar de 6 alturas</p>",,,2025-01-01 12:43:42
https://www.idealista.com/inmueble/105737585/,Piso,"calle de Perafita, Ciutat Meridiana - Torre Baró - Vallbona, Barcelona","calle de Perafita, Ciutat Meridiana - Torre Baró - Vallbona, Barcelona",62000.0,,"['3 hab.', '51 m²', 'Planta 4ª sin ascensor']","<p class=""ellipsis"">Oportunidad sólo para inversores. El activo se encuentra ocupado por persona sin justo título. Debido al estado ocupacional del activo, no se pueden realizar visitas al mismo. Piso de segunda mano en venta situado en C/ Perafita, Barcelona (Barcelona). Cuenta con una superficie de 51,84m² distribuidos en 3 dormitorios</p>",,,2025-01-01 12:43:42
